name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,Region,predicted_temp
"12.9166,77.6101",2023-01-01,29.0,16.0,21.8,28.5,16.0,21.8,14.5,67.2,0.0,0.0,0.0,,0.0,0.0,26.3,14.7,65.4,1020.1,16.6,6.6,242.0,20.7,9.0,10.0,2023-01-01T06:41:36,2023-01-01T18:04:20,0.3,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999",Btm Layout,
"12.9166,77.6101",2023-01-02,27.0,16.0,20.9,26.8,16.0,20.9,14.2,69.7,0.0,0.0,0.0,,0.0,0.0,33.5,16.5,87.4,1020.0,14.8,6.0,248.1,21.5,9.0,10.0,2023-01-02T06:41:59,2023-01-02T18:04:53,0.34,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999",Btm Layout,
"12.9166,77.6101",2023-01-03,26.0,16.0,20.6,26.0,16.0,20.6,15.6,75.6,0.0,0.0,0.0,,0.0,0.0,32.4,14.8,93.2,1020.2,36.3,5.3,237.0,20.7,9.0,10.0,2023-01-03T06:42:21,2023-01-03T18:05:27,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999",Btm Layout,
"12.9166,77.6101",2023-01-04,26.0,17.0,20.7,26.0,17.0,20.7,15.8,76.4,0.0,0.0,0.0,rain,0.0,0.0,33.1,18.1,94.4,1019.0,43.0,4.7,245.9,21.2,9.0,10.0,2023-01-04T06:42:42,2023-01-04T18:06:01,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999",Btm Layout,
"12.9166,77.6101",2023-01-05,24.0,15.9,20.0,24.0,15.9,20.0,16.2,80.0,0.0,0.0,0.0,,0.0,0.0,37.4,22.2,88.0,1019.6,46.8,4.6,198.6,17.0,8.0,10.0,2023-01-05T06:43:02,2023-01-05T18:06:35,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999",Btm Layout,
"12.9166,77.6101",2023-01-06,26.0,15.0,20.4,26.0,15.0,20.4,16.0,78.4,0.0,0.0,0.0,,0.0,0.0,38.9,24.1,82.3,1020.9,48.1,4.9,232.2,19.9,9.0,10.0,2023-01-06T06:43:22,2023-01-06T18:07:09,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999",Btm Layout,
"12.9166,77.6101",2023-01-07,25.2,16.0,20.4,25.2,16.0,20.4,16.1,78.2,0.0,0.0,0.0,,0.0,0.0,40.7,18.2,77.0,1020.3,54.4,4.7,172.5,15.1,8.0,10.0,2023-01-07T06:43:40,2023-01-07T18:07:43,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999",Btm Layout,
"12.9166,77.6101",2023-01-08,25.9,17.0,20.7,25.9,17.0,20.7,15.4,74.3,0.0,0.0,0.0,,0.0,0.0,29.9,13.3,54.7,1019.1,50.2,4.6,232.2,19.9,8.0,10.0,2023-01-08T06:43:58,2023-01-08T18:08:17,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999",Btm Layout,
"12.9166,77.6101",2023-01-09,26.9,13.5,19.5,26.3,13.5,19.4,10.3,61.9,0.0,0.0,0.0,,0.0,0.0,28.4,12.9,81.6,1019.7,29.9,4.6,257.1,22.2,9.0,10.0,2023-01-09T06:44:15,2023-01-09T18:08:51,0.58,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999",Btm Layout,
"12.9166,77.6101",2023-01-10,27.0,12.5,19.3,26.6,12.5,19.2,11.6,66.4,0.0,0.0,0.0,,0.0,0.0,34.9,16.4,78.5,1019.5,20.0,5.2,261.4,22.6,9.0,10.0,2023-01-10T06:44:31,2023-01-10T18:09:25,0.61,Clear,Partly cloudy throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999",Btm Layout,
